Company,Current_Ticker,Ticker_At_Start,Activist_Group,Objectives,Hp_Return,Market_Cap_At_Start,Stake_At_Start,Start_Date_And_Time,Year,Month,Date,Activist_Tier,Stake_Value_At_Start,One_Day_Return,One_Year_Return,Follower_Return,Annualized_Hp_Return,Hp_Alpha,One_Year_Alpha,Follower_Alpha,Activist_Tactics
MoSys Inc,PRSO US Equity,MOSY US,Ault Alliance Inc,1: Other (Explore business combination),-8.62745,1.81E+07,8.43,Start: 2021-02-16. UTC: 2021-02-16T11:39:17.000Z,2021,2,16,Secondary Focus,1528047,22.7451,-47.8431,-25.5591,-8.62745,-5.78372,-63.1832,-22.7586,
Leaf Group Ltd,LEAF US Equity,LEAF US,"Viex Capital Advisors LLC, Osmium Partners LLC, and Oak Management Corp",4: Board Representation; Declassify Board; Oppose Merger (Target); Sale of Company,23.02053,2.42E+08,25.1,Start: 2021-02-17. UTC: 2021-02-17T14:01:38.000Z,2021,2,17,Core Activist,60859644,-1.17302,24.4868,24.48071,23.02053,16.50601,15.96437,17.94945,Formal Notice for Proxy Fight; Letter to Company
Medallion Financial Corp,MFIN US Equity,MFIN US,KORR Acquisitions Group Inc,12: Break Up; Strategic Review; Cost Cutting; Other (Add independent directors); Return Capital/Buybacks; Other (Change the name of the parent); Other (Demand for Inspection of Books and Records); Board Representation; Sale of Company; Management Changes; Other (Appoint Donald Poulton as CEO); Declassify Board,0.323076,1.67E+08,4.9,Start: 2021-02-17. UTC: 2021-02-17T16:00:45.060Z,2021,2,17,Secondary Focus,8182946,7.726597,14.1159,-6.87251,0.148575,-8.36,1.15689,-15.5727,Formal Notice for Proxy Fight; Letter to Company
FirstEnergy Corp,FE US Equity,FE US,Icahn Enterprises LP,1: Board Representation,37.56851,1.73E+10,3.49,Start: 2021-02-18. UTC: 2021-02-18T15:10:00.873Z,2021,2,18,Core Activist,6.05E+08,7.198748,33.49016,28.33033,15.83444,28.86836,,19.15206,
Wrap Technologies Inc,WRAP US Equity,WRAP US,"Elwood G Norris ""Woody""",2: Board Representation; Other (Establish a higher minimum number of directors),-77.3266,2.20E+08,17.3,Start: 2021-02-19. UTC: 2021-02-19T11:04:46.000Z,2021,2,19,Occasional Activist,38045866,0.338409,-60.0677,-77.403,-49.5793,-86.5048,-72.7449,-86.7778,Formal Notice for Proxy Fight; Letter to Company
eHealth Inc,EHTH US Equity,EHTH US,Hudson Executive Capital LP,Discussions only,-81.0726,1.41E+09,5.8,Start: 2021-02-19. UTC: 2021-02-19T12:38:37.000Z,2021,2,19,Core Activist,81500921,6.302986,-73.2031,-82.1949,-79.3631,,-85.8803,-91.4227,
TC PipeLines LP,TCP US Equity,TCP US,Energy Income Partners LLC,3: Oppose Merger (Target); Sale of Company; Strategic Review,-3.14203,2.22E+09,10,Start: 2021-02-19. UTC: 2021-02-19T20:51:09.948Z,2021,2,19,Occasional Activist,2.22E+08,-0.38474,-3.14203,-2.76794,-3.14203,-2.07183,-2.07183,-1.87576,Letter to Company
Kohl's Corp,KSS US Equity,KSS US,"Legion Partners Asset Management LLC (Group: Ancora Advisors LLC, Legion Partners Asset Management LLC, Macellum Capital Management LLC, and 4010 Capital LLC)",6: Board Control; Other (Reduce inventory and streamline promotions); Real Estate Separation; Return Capital/Buybacks; Compensation Changes; Board Representation,12.88871,8.31E+09,9.5,Start: 2021-02-21. UTC: 2021-02-22T00:12:36.193Z,2021,2,21,Core Activist,7.89E+08,6.204934,5.018408,6.293284,12.88871,5.896225,-6.71813,-1.52403,Formal Notice for Proxy Fight
Kohl's Corp,KSS US Equity,KSS US,"Ancora Advisors LLC (Group: Ancora Advisors LLC, Legion Partners Asset Management LLC, Macellum Capital Management LLC, and 4010 Capital LLC)",6: Board Control; Other (Reduce inventory and streamline promotions); Real Estate Separation; Return Capital/Buybacks; Compensation Changes; Board Representation,12.88871,8.31E+09,9.5,Start: 2021-02-21. UTC: 2021-02-22T00:12:36.193Z,2021,2,21,Core Activist,7.89E+08,6.204934,5.018408,6.293284,12.88871,5.896225,-6.71813,-1.52403,Formal Notice for Proxy Fight
Kohl's Corp,KSS US Equity,KSS US,"Macellum Capital Management LLC (Group: Ancora Advisors LLC, Legion Partners Asset Management LLC, Macellum Capital Management LLC, and 4010 Capital LLC)",6: Board Control; Other (Reduce inventory and streamline promotions); Real Estate Separation; Return Capital/Buybacks; Compensation Changes; Board Representation,12.88871,8.31E+09,9.5,Start: 2021-02-21. UTC: 2021-02-22T00:12:36.193Z,2021,2,21,Core Activist,7.89E+08,6.204934,5.018408,6.293284,12.88871,5.896225,-6.71813,-1.52403,Formal Notice for Proxy Fight
Principal Financial Group Inc,PFG US Equity,PFG US,Elliott Investment Management LP,3: Board Representation; Break Up; Strategic Review,81.51367,1.50E+10,0.0018,Start: 2021-02-21. UTC: 2021-02-22T01:40:53.365Z,2021,2,21,Core Activist,270378.3,8.130672,34.00895,67.86511,41.25474,77.58495,22.27241,63.13519,
Laboratory Corp of America Holdings,LH US Equity,LH US,JANA Partners LLC,1: Board Representation,-3.32711,2.38E+10,0.796,Start: 2021-02-23. UTC: 2021-02-23T16:59:45.534Z,2021,2,23,Core Activist,1.89E+08,1.349135,10.09596,-4.614,-1.55707,-13.545,,-14.6914,Formal Notice for Proxy Fight
CIB Marine Bancshares Inc,CIBH US Equity,CIBH US,Hildene Capital Management LLC,1: Board Representation,16.21622,2.26E+07,1,Start: 2021-02-24. UTC: 2021-02-24T13:40:00.160Z,2021,2,24,Occasional Activist,226272,18.91892,121.6216,-2.27273,16.21622,8.098699,109.5772,-9.17542,Formal Notice for Proxy Fight
Taronis Fuels Inc,TRNFQ US Equity,TRNF US,John M Dowd,1: Support 3rd Party Activist,-99.7733,2.80E+07,2.14,Start: 2021-02-24. UTC: 2021-02-24T14:00:00.020Z,2021,2,24,Occasional Activist,599852.7,0,-99.7733,-99.7733,-99.7733,-111.818,-111.818,-110.559,
Blucora Inc,AVTA US Equity,BCOR US,Ancora Advisors LLC,4: Board Representation; Strategic Review; Break Up; Return Capital/Buybacks,-0.57558,7.95E+08,3,Start: 2021-02-25. UTC: 2021-02-25T13:00:01.002Z,2021,2,25,Core Activist,23854842,3.241442,18.02484,-3.69718,-0.47235,-4.44946,4.74857,-10.1623,Formal Notice for Proxy Fight; Activist Lawsuit; Letter to Company
Taronis Fuels Inc,TRNFQ US Equity,TRNF US,Eric N Harthun,1: Support 3rd Party Activist,-99.7578,2.80E+07,0.32,Start: 2021-02-25. UTC: 2021-02-25T14:00:00.086Z,2021,2,25,Occasional Activist,89697.6,-2.22222,-99.7733,-99.7523,-99.549,-115.913,-113.05,-118.805,
Cedar Realty Trust Inc,CDR US Equity,CDR US,Ewing Morris & Co Investment Partners Ltd,1: Board Representation,112.5745,1.87E+08,8.1,Start: 2021-02-26. UTC: 2021-02-26T21:38:39.000Z,2021,2,26,Occasional Activist,15145817,4.862119,79.61039,102.7181,73.79742,110.3798,65.03714,102.9007,Formal Notice for Proxy Fight
Cedar Realty Trust Inc,CDR US Equity,CDR US,Barington Capital Group LP and Cruiser Capital Advisors LLC,1: Board Representation,113.0896,1.87E+08,2.67,Start: 2021-02-26. UTC: 2021-02-26T22:33:13.000Z,2021,2,26,Core Activist,4992510,4.862119,79.61039,103.2093,68.04413,97.93887,65.03714,90.73723,Formal Notice for Proxy Fight
SunLink Health Systems Inc,SSY US Equity,SSY US,Ault Alliance Inc,Stake Only 13D: No Public Activism,65,1.24E+07,9.91,Start: 2021-03-01. UTC: 2021-03-01T11:32:05.000Z,2021,3,1,Secondary Focus,1230703,10,-31.1111,50,65,62.22157,-45.6844,49.61243,
Interpace Biosciences Inc,IDXG US Equity,IDXG US,Peter H Kamin,Stake Only 13D: No Public Activism,-63.7213,1.23E+07,19.3,Start: 2021-03-01. UTC: 2021-03-01T21:07:45.000Z,2021,3,1,Occasional Activist,2379497,43.75,85.0214,-74.7626,-37.7786,-73.1894,71.02341,-85.122,
Elanco Animal Health Inc,ELAN US Equity,ELAN US,Starboard Value LP,1: Board Representation,-60.1732,1.53E+10,1.66,Start: 2021-03-03. UTC: 2021-03-03T18:43:14.122Z,2021,3,3,Core Activist,2.53E+08,-4.54546,-12.2758,-58.2767,-41.7899,,-26.6126,-64.5236,Formal Notice for Proxy Fight
KVH Industries Inc,KVHI US Equity,KVHI US,"Viex Capital Advisors LLC, Peter T Shaper, Bradley L Radoff ""Brad"" and Potomac Capital Management Inc",1: Board Representation,-8.06452,2.51E+08,3.4,Start: 2021-03-04. UTC: 2021-03-04T14:00:26.365Z,2021,3,4,Core Activist,8547022,0,-38.1232,-8.06452,-8.06452,-23.0493,-53.0562,,Formal Notice for Proxy Fight
Green Plains Partners LP,GPP US Equity,GPP US,Railroad Ranch Capital Management LLC,3: Strategic Review; Sale of Company; Break Up,15.92233,2.39E+08,6.1,Start: 2021-03-05. UTC: 2021-03-05T14:23:35.000Z,2021,3,5,Secondary Focus,14581696,7.572815,43.81558,7.761733,15.92233,,27.33992,-0.03962,
Harmonic Inc,HLIT US Equity,HLIT US,Scopia Capital Management LP,Discussions only,104.3593,7.63E+08,9.6,Start: 2021-03-08. UTC: 2021-03-08T17:59:25.000Z,2021,3,8,Secondary Focus,73287725,3.566711,15.98415,97.32143,40.63606,94.36687,5.91062,86.73761,
QEP Resources Inc,QEP US Equity,QEP US,Glazer Capital LLC,2: Oppose Merger (Target); Break Up,-6.2069,1.06E+09,5.7,Start: 2021-03-09. UTC: 2021-03-09T12:00:14.642Z,2021,3,9,Occasional Activist,60144194,-3.90805,-6.2069,-2.39234,-6.2069,-9.96102,-9.96102,-4.68904,
NeuroBo Pharmaceuticals Inc,NRBO US Equity,NRBO US,Dong A ST Co Ltd and E&Investment Inc,2: Board Control; Declassify Board,-99.0068,8.71E+07,13,Start: 2021-03-11. UTC: 2021-03-11T11:09:01.000Z,2021,3,11,Occasional Activist,11328629,0.902935,-82.9391,-99.0157,-93.6971,-103.013,-92.2971,-101.945,Formal Notice for Proxy Fight; Threaten Fight
Leaf Group Ltd,LEAF US Equity,LEAF US,Madison Avenue Partners LP,2: Remove Director/Withhold Votes; Strategic Review,38.0719,2.19E+08,6.4,Start: 2021-03-12. UTC: 2021-03-12T19:16:33.000Z,2021,3,12,Occasional Activist,14022400,-1.14379,38.72549,39.66942,38.0719,31.10977,30.51458,32.84177,
Columbia Property Trust Inc,CXP US Equity,CXP US,"Arkhouse Partners LLC, Sapir Organization / The, and 8F Investment Partners",2: Board Control; Acquire Company,30.14857,1.74E+09,3.3,Start: 2021-03-15. UTC: 2021-03-15T10:00:00.137Z,2021,3,15,Secondary Focus,57543892,2.964427,30.14857,26.40149,30.14857,10.09751,10.09751,7.13019,Formal Notice for Proxy Fight; Letter to Company; Unsolicited Bid
Hyster-Yale Materials Handling Inc,HY US Equity,HY US,Cetus Capital LLC,2: Strategic Review; Break Up,-62.628,1.61E+09,1,Start: 2021-03-16. UTC: 2021-03-16T13:00:00.198Z,2021,3,16,Occasional Activist,12421847,-3.9975,-62.628,-61.0718,-62.628,-73.967,-73.967,-72.5829,Letter to Company
Rambus Inc,RMBS US Equity,RMBS US,Barington Capital Group LP,Stake Only: 1 Board Seat Granted,143.6975,2.26E+09,0.471,Start: 2021-03-16. UTC: 2021-03-16T13:05:04.537Z,2021,3,16,Core Activist,10646035,1.038062,43.40089,141.1937,52.8745,136.1657,32.06185,133.4957,
Venture Vanadium Inc,DIAH US Equity,VENV US,EnvyZen,1: Board Control,-9.09091,6.17E+07,,Start: 2021-03-16. UTC: 2021-03-16T20:03:56.000Z,2021,3,16,Occasional Activist,,,-9.09091,-9.09091,-9.09091,-20.602,-21.9855,-20.2808,Formal Notice for Proxy Fight
Adverum Biotechnologies Inc,ADVM US Equity,ADVM US,Sonic Fund II LP,1: Board Control,-79.368,1.05E+09,6.3,Start: 2021-03-17. UTC: 2021-03-17T21:10:01.048Z,2021,3,17,Occasional Activist,66294037,-4.36803,-86.6171,-78.4257,-79.368,-92.7184,-100.501,-93.4686,Formal Notice for Proxy Fight; Letter to Company
Trecora Resources,TREC US Equity,TREC US,Ortelius Advisors LP,2: Board Control; Board Representation,24.90372,1.93E+08,7.4,Start: 2021-03-18. UTC: 2021-03-18T20:06:32.000Z,2021,3,18,Secondary Focus,14316210,-4.10783,11.29653,30.25435,20.30846,18.36369,-4.28755,,Formal Notice for Proxy Fight
Alkermes PLC,ALKS US Equity,ALKS US,Sarissa Capital Management LP,3: Break Up; Board Representation; Management Changes,46.53366,3.19E+09,4.9,Start: 2021-03-21. UTC: 2021-03-21T13:03:23.594Z,2021,3,21,Core Activist,1.56E+08,1.097257,30.17456,44.94326,20.14166,37.48821,13.27064,36.6588,Formal Notice for Proxy Fight; Threaten Fight
Taronis Fuels Inc,TRNFQ US Equity,TRNF US,Harvey Boshart,1: Support 3rd Party Activist,-99.7067,3.73E+07,0.63,Start: 2021-03-22. UTC: 2021-03-22T12:00:00.102Z,2021,3,22,Occasional Activist,235140.6,2.666667,-99.7067,-99.7143,-99.7067,-116.611,-116.611,-115.802,
Extended Stay America Inc,STAY US Equity,STAY US,Hawk Ridge Capital Management LP,1: Oppose Merger (Target),5.627259,3.44E+09,2,Start: 2021-03-22. UTC: 2021-03-22T12:30:00.006Z,2021,3,22,Secondary Focus,68786990,1.858544,5.627259,3.699949,5.627259,-3.26593,-3.26593,,
Extended Stay America Inc,STAY US Equity,STAY US,Tarsadia Capital LLC,5: Oppose Merger (Target); Board Representation; Break Up; Return Capital/Buybacks; Sale of Company,5.627259,3.44E+09,3.9,Start: 2021-03-22. UTC: 2021-03-22T12:30:00.006Z,2021,3,22,Occasional Activist,1.34E+08,1.858544,5.627259,3.699949,5.627259,-3.26593,-3.26593,-4.43331,Formal Notice for Proxy Fight
MamaMancini's Holdings Inc,MMMB US Equity,MMMB US,Alta Fox Capital Management LLC,Stake Only: 1 Board Seat Granted,-47.8873,1.01E+08,4.73,Start: 2021-03-22. UTC: 2021-03-22T12:31:00.017Z,2021,3,22,Secondary Focus,4781103,-0.35211,-34.1549,-47.7032,-41.199,-45.386,-51.0589,-44.5214,
Paid Inc,PAYD US Equity,PAYD US,Allan Pratt,Discussions only,-39.16,1.78E+07,46.8,Start: 2021-03-22. UTC: 2021-03-22T14:57:48.000Z,2021,3,22,Occasional Activist,8307796,9.090909,-20.1818,-44.23,-21.2312,-48.2055,-37.0857,-52.5145,Activist Lawsuit
eHealth Inc,EHTH US Equity,EHTH US,Starboard Value LP,1: Board Control,-95.3591,1.77E+09,7,Start: 2021-03-22. UTC: 2021-03-22T20:02:06.000Z,2021,3,22,Core Activist,1.24E+08,-0.66089,-81.216,-95.3282,-84.4566,-99.1561,-95.8859,-99.9233,Formal Notice for Proxy Fight
Extended Stay America Inc,STAY US Equity,STAY US,Cooke & Bieler LP,1: Oppose Merger (Target),3.699949,3.50E+09,1.8,Start: 2021-03-23. UTC: 2021-03-23T12:00:00.006Z,2021,3,23,Occasional Activist,63058883,1.267106,3.699949,2.402402,3.699949,-4.43331,-4.43331,-6.56235,
Extended Stay America Inc,STAY US Equity,STAY US,SouthernSun Asset Management LLC,1: Oppose Merger (Target),3.699949,3.50E+09,1.9,Start: 2021-03-23. UTC: 2021-03-23T12:00:00.006Z,2021,3,23,Occasional Activist,66562155,1.267106,3.699949,2.402402,3.699949,-4.43331,-4.43331,-6.56235,
Extended Stay America Inc,STAY US Equity,STAY US,River Road Asset Management LLC,2: Oppose Merger (Target); Sale of Company,3.699949,3.50E+09,3.2,Start: 2021-03-23. UTC: 2021-03-23T14:37:47.889Z,2021,3,23,Occasional Activist,1.12E+08,1.267106,3.699949,2.402402,3.699949,-4.43331,-4.43331,-6.56235,
Community West Bancshares,CWBC US Equity,CWBC US,PL Capital Advisors LLC,1: Other (Board adopt specific guidelines regarding non-employee and executive officer stock ownership),3.547982,1.10E+08,5.1,Start: 2021-03-23. UTC: 2021-03-23T19:50:39.000Z,2021,3,23,Secondary Focus,5594165,-2.32558,21.3923,6.01341,1.690774,-4.73648,6.72246,-3.1037,Letter to Company; Threaten Fight
Capital Senior Living Corp,SNDA US Equity,CSU US,Ortelius Advisors LP,2: Oppose Other Transaction (Opposes the Transactions with Conversant Capital LLC); Other (To inspect Books and Records),-74.1853,7.45E+07,5.7,Start: 2021-03-25. UTC: 2021-03-25T23:03:11.000Z,2021,3,25,Secondary Focus,4245810,7.08369,8.610488,-75.893,-47.9948,-83.3202,-9.22247,-83.2417,Formal Notice for Proxy Fight; Letter to Company
TETRA Technologies Inc,TTI US Equity,TTI US,Radoff Family Foundation/The,Stake Only: 1 Board Seat Granted,42.22222,3.42E+08,3.19,Start: 2021-03-26. UTC: 2021-03-26T11:33:29.000Z,2021,3,26,Secondary Focus,10907149,2.592592,42.22222,38.62816,42.22222,24.38926,24.38926,22.72373,
ODP Corp/The,ODP US Equity,ODP US,Kanen Wealth Management LLC,1: Return Capital/Buybacks,23.25644,1.97E+09,1.15,Start: 2021-03-26. UTC: 2021-03-26T15:45:21.000Z,2021,3,26,Core Activist,22682322,9.009498,25.07463,13.06946,13.6128,19.55562,7.24167,,Letter to Company
Madison Square Garden Entertainment Corp,MSGE US Equity,MSGE US,Boyar Asset Management Inc,1: Oppose Acquisition,-34.4868,2.04E+09,0.18,Start: 2021-03-29. UTC: 2021-03-29T18:25:09.760Z,2021,3,29,Occasional Activist,2989950,-3.03531,-3.11799,-32.4361,-18.5353,-41.8356,-21.2814,-39.878,
Nam Tai Property Inc,NTPIF US Equity,NTP US,Kahn Brothers Group Inc,1: Support 3rd Party Activist,-76.5158,6.77E+08,2.18,Start: 2021-03-31. UTC: 2021-03-31T12:30:00.048Z,2021,3,31,Occasional Activist,14768491,5.29462,-46.6268,-77.6967,-50.5478,,-62.6833,-85.0703,
Yelp Inc,YELP US Equity,YELP US,Eystra Capital LLC,1: Sale of Company,-12.1282,2.92E+09,,Start: 2021-04-01. First Affected: 2021-04-01,2021,4,1,Occasional Activist,,6.487179,-12.1282,-17.4813,-12.1282,-28.1512,-28.1512,-32.1482,
SilverSun Technologies Inc,SSNT US Equity,SSNT US,Ault Alliance Inc,1: Other (Explore business combination),-58.8819,4.20E+07,6.21,Start: 2021-04-05. UTC: 2021-04-05T20:31:06.000Z,2021,4,5,Secondary Focus,2608684,-3.9759,-61.0394,-57.1794,-58.8819,-70.8406,-72.4694,-69.2421,
Old Republic International Corp,ORI US Equity,ORI US,Owl Creek Asset Management LP,7: Strategic Review; Break Up; Return Capital/Buybacks; Declassify Board; Other (Elect an independent chairman); Social (Diverse representation on board); Other (Remove Director plurality voting and introducing Director resignation policy),25.57414,6.77E+09,2,Start: 2021-04-06. UTC: 2021-04-06T12:03:00.001Z,2021,4,6,Secondary Focus,1.35E+08,3.01259,23.08462,21.90174,25.57414,9.77995,11.65459,5.99999,Letter to Company
Grayscale Bitcoin Trust BTC,GBTC US Equity,GBTC US,Marlton LLC,1: Realize NAV,-51.4637,3.67E+10,,Start: 2021-04-06. UTC: 2021-04-06T12:47:35.232Z,2021,4,6,Secondary Focus,,-4.40038,-42.9462,-49.2296,-48.9859,-55.3616,-54.3762,-53.224,
Leaf Group Ltd,LEAF US Equity,LEAF US,Boyle Capital Management LLC,2: Oppose Merger (Target); Sale of Company,-0.46893,3.07E+08,0.09,Start: 2021-04-06. UTC: 2021-04-06T13:22:00.176Z,2021,4,6,Occasional Activist,276346.5,0.820633,-0.46893,-1.27907,-0.46893,-4.90869,-4.90869,-5.81584,Letter to Company
Scopus Biopharma Inc,SCPS US Equity,SCPS US,"Dr Morris Laster, Chen Laster, Gabriella Laster and Sara Laster",2: Remove Director/Withhold Votes; Board Representation,-98.9059,1.34E+08,32.9,Start: 2021-04-07. UTC: 2021-04-07T10:02:00.000Z,2021,4,7,Occasional Activist,43982233,-3.41177,-92.2247,-98.8672,-90.7278,-98.7546,-104.247,,Formal Notice for Proxy Fight; Activist Lawsuit
Public Storage,PSA US Equity,PSA US,Land & Buildings Investment Management LLC,1: Other (Retain cumulative voting rights),24.07984,4.46E+10,0.1,Start: 2021-04-07. UTC: 2021-04-07T15:29:53.004Z,2021,4,7,Core Activist,44625567,0.160589,64.22195,23.8809,11.16524,19.38833,52.19994,19.34563,
Bank of Marin Bancorp,BMRC US Equity,BMRC US,"Stephen A Fleming ""Steve""",1: Board Representation,-10.0768,5.24E+08,8.2,Start: 2021-04-07. UTC: 2021-04-07T20:38:53.000Z,2021,4,7,Occasional Activist,42967533,0.537359,-14.292,-10.5574,-10.0768,-12.1253,-25.8523,-12.1535,Formal Notice for Proxy Fight
Yatra Online Inc,YTRA US Equity,YTRA US,Maguire Asset Management LLC,2: Compensation Changes; Other (Independent director),-14.2857,1.43E+08,6.2,Start: 2021-04-08. UTC: 2021-04-08T12:01:39.000Z,2021,4,8,Occasional Activist,8500622,18.48739,-30.2521,-27.6596,-7.29306,-18.821,-41.8124,-31.7314,Letter to Company
Blucora Inc,AVTA US Equity,BCOR US,Angeles Wealth Management LLC,1: Support Management,14.93507,8.17E+08,,Start: 2021-04-09. UTC: 2021-04-09T12:00:00.044Z,2021,4,9,Occasional Activist,,-0.82645,13.28217,15.89286,14.84792,5.743899,2.21651,7.539395,
Genesco Inc,GCO US Equity,GCO US,Legion Partners Asset Management LLC,7: Break Up; Return Capital/Buybacks; Board Control; Board Representation; Cost Cutting; Remove Director/Withhold Votes; Return Capital/Buybacks,-3.73947,7.28E+08,5.59,Start: 2021-04-12. UTC: 2021-04-12T11:59:51.651Z,2021,4,12,Core Activist,40688911,4.910623,37.51798,-8.2452,-2.03678,-5.37444,29.53114,-9.89851,Formal Notice for Proxy Fight; Letter to Company
Leaf Group Ltd,LEAF US Equity,LEAF US,Penderfund Capital Management Ltd,3: Sale of Company; Strategic Review; Oppose Merger (Target),-6.18785,3.26E+08,,Start: 2021-04-12. UTC: 2021-04-12T23:32:05.018Z,2021,4,12,Occasional Activist,,0.773481,-6.18785,-6.9079,-6.18785,-9.32718,-9.32718,,
Liquidia Corp,LQDA US Equity,LQDA US,Caligan Partners LP,Stake Only 13D: 1 Board Seat Granted,175.3968,1.09E+08,16.1,Start: 2021-04-13. UTC: 2021-04-13T11:00:00.080Z,2021,4,13,Core Activist,17582391,1.587302,108.3333,171.0938,65.04214,172.1048,99.0995,168.1409,
Medalist Diversified REIT Inc,MDRR US Equity,MDRR US,Ault Alliance Inc,Stake Only 13D: No Public Activism,35.9375,1.97E+07,10.5,Start: 2021-04-15. UTC: 2021-04-15T21:01:22.000Z,2021,4,15,Secondary Focus,2071346,3.125,-8.65519,31.81818,35.9375,,-15.4494,30.10976,
Westwood Holdings Group Inc,WHG US Equity,WHG US,JCP Investment Management LLC,3: Sale of Company; Strategic Review; Other (Demand relatded to inspect certain books and records),-10.0556,1.39E+08,8.5,Start: 2021-04-15. UTC: 2021-04-15T21:06:37.000Z,2021,4,15,Core Activist,11831881,1.453664,12.95059,-11.3444,-5.1268,-12.2822,6.156402,-13.2034,
Allot Ltd,ALLT US Equity,ALLT US,Outerbridge Capital Management LLC and QVT Financial LP,1: Board Representation,-84.3003,6.22E+08,6,Start: 2021-04-19. UTC: 2021-04-19T21:15:26.000Z,2021,4,19,Secondary Focus,37321608,-1.02389,-64.7327,-84.1379,-60.327,-86.7027,-73.342,-87.2382,
Sunnyside Bancorp Inc,SNNY US Equity,SNNY US,Rhodium BA Holdings LLC,1: Acquire Company,34.66667,1.19E+07,9.82,Start: 2021-04-20. UTC: 2021-04-20T13:40:00.138Z,2021,4,20,Occasional Activist,1168826,12.46667,27.66733,19.73918,31.38403,37.72056,19.05798,,Letter to Company
AstroNova Inc,ALOT US Equity,ALOT US,Juniper Investment Co LLC,Stake Only 13D: No Public Activism,-12.9825,1.23E+08,5,Start: 2021-04-21. UTC: 2021-04-21T20:39:42.000Z,2021,4,21,Secondary Focus,6167095,1.637427,-23.8012,-14.3844,-6.7257,-15.1321,-27.5932,-17.4753,
Spark Networks SE,LOV US Equity,LOV US,Cannell Capital LLC,1: Board Representation,-57.8659,1.90E+08,5.66,Start: 2021-04-21. UTC: 2021-04-21T20:59:29.000Z,2021,4,21,Core Activist,10780936,-2.59918,-66.0739,-56.7416,-57.8659,-67.1678,-69.8659,-67.0506,
AMG Boston Common Global Impact Fund,BRWIX US Equity,BRWIX US,Friess Associates LLC,1: Other (Opposes Subadvisory Agreement),-14.5978,9.59E+08,0.53,Start: 2021-04-22. UTC: 2021-04-22T12:00:00.139Z,2021,4,22,Occasional Activist,5085244,0.164706,-14.5978,-14.7382,-14.5243,-18.3898,-18.3898,-19.4866,Formal Notice for Proxy Fight
AMG Veritas Global Real Return Fund,BLUEX US Equity,BLUEX US,Friess Associates LLC,1: Other (Opposes Subadvisory Agreement),-6.5123,1.84E+08,0.98,Start: 2021-04-22. UTC: 2021-04-22T12:00:00.592Z,2021,4,22,Occasional Activist,1801570,0.072359,-6.5123,-6.5799,-6.47799,-10.3043,-10.3043,-11.3283,Formal Notice for Proxy Fight
Wheeler Real Estate Investment Trust Inc,WHLR US Equity,WHLR US,Magnolia Group LLC/The,Discussions only,-58.3718,4.13E+07,9.28,Start: 2021-04-22. UTC: 2021-04-22T21:12:38.000Z,2021,4,22,Occasional Activist,3828334,0.941176,-44.4706,-58.7599,-41.9589,-59.3006,-49.219,-58.5942,
CynergisTek Inc/DE,CTEK US Equity,CTEK US,Daniel Berger,1: Board Representation,-27.3256,2.08E+07,0.83,Start: 2021-04-26. UTC: 2021-04-26T18:35:42.000Z,2021,4,26,Occasional Activist,173035.1,4.069767,-51.0174,-30.1676,-21.0843,,-52.2897,-26.5156,Formal Notice for Proxy Fight; Formal Proposal (Non-Proxy Fight)
Noble Midstream Partners LP,NBLX US Equity,NBLX US,Tortoise Capital Advisors LLC,2: Oppose Merger (Target); Sale of Company,2.217742,1.35E+09,1.4,Start: 2021-04-29. UTC: 2021-04-29T20:16:09.550Z,2021,4,29,Occasional Activist,18830883,-3.42742,2.217742,5.845511,2.217742,3.583628,2.721605,6.504581,Letter to Company
Turtle Beach Corp,HEAR US Equity,HEAR US,Donerail Group LLC/The and SCW Capital Management LP,6: Sale of Company; Strategic Review; Acquire Company; Strategic Review; Board Representation; Board Control,-73.7143,4.60E+08,4,Start: 2021-04-30. UTC: 2021-04-30T19:17:36.180Z,2021,4,30,Secondary Focus,18418100,-6.58824,-44.0672,-71.8604,-59.066,-68.4288,-43.5525,-67.2537,Formal Notice for Proxy Fight; Letter to Company; Threaten Fight; Unsolicited Bid
Hilton Grand Vacations Inc,HGV US Equity,HGV US,Land & Buildings Investment Management LLC,1: Oppose Acquisition,16.94345,3.81E+09,0.524,Start: 2021-05-03. UTC: 2021-05-03T13:01:00.145Z,2021,5,3,Core Activist,19973620,1.054758,1.593357,15.72285,16.94345,1.87842,0.33843,0.97357,Letter to Company
Simply Inc,SIMPQ US Equity,SIMP US,SOL Global Investments Corp,Stake Only 13D: No Public Activism,-99.9634,4.81E+07,8.019,Start: 2021-05-03. UTC: 2021-05-03T16:39:50.000Z,2021,5,3,Occasional Activist,3854830,-12.2593,-58.5669,-99.9583,-98.2103,-101.897,-59.8218,-101.612,
Build-A-Bear Workshop Inc,BBW US Equity,BBW US,Kanen Wealth Management LLC,7: Board Representation; Other (3rd party retail partnerships); Remove Director/Withhold Votes; Return Capital/Buybacks; Declassify Board; Real Estate Separation; Return Capital/Buybacks,204.6053,1.33E+08,6.32,Start: 2021-05-03. UTC: 2021-05-03T20:26:49.000Z,2021,5,3,Core Activist,8392890,-2.30863,159.1975,211.8037,81.82483,209.0254,155.2041,215.5812,Letter to Company
